Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Chl
2021-11-11,CTD4,4180265.85759629,698264.0657476727,0.0062793368,0.011209139,0.015419864,0.0041777026,0.002977636,0.0008719263,0.0008597871,0.00035462706,0.006302068,0.011190264,0.015293149,0.0041191326,0.0030764227,0.00087108125,0.07689031,-0.0,1.1709705824999999
2021-11-11,CTD6,4176008.900458722,695829.0091863506,0.0010403364,0.00324952,0.008514424,0.0018822977,0.0010457158,0.00025210896,0.00023820922,9.260754e-05,0.0010878923,0.0033820302,0.008578635,0.0017867807,0.0010671346,0.00024213789,2.6693106e-05,-1.435e-42,1.714464375
2021-11-11,CTD7,4176723.693900513,690396.7024300082,0.009016264,0.019011704,0.033165,0.009266314,0.006298106,0.0017013709,0.0016571778,0.0006555012,0.008899287,0.01917174,0.033134837,0.009250154,0.0065205,0.0016712701,0.10120424,-0.0,2.0235185714285717
2021-11-11,CTD8,4174178.030118922,693047.7091175154,0.006433067,0.014537441,0.0262278,0.006494636,0.0043837246,0.001172971,0.0011466886,0.00045626753,0.0063678264,0.014708895,0.026184592,0.0064700623,0.0045324196,0.0011683708,0.087963894,-0.0,1.844501875
2021-11-11,CTD10,4170388.237872792,695645.9552495586,0.016685,0.024111433,0.03366479,0.012044677,0.009082206,0.0025494387,0.0024479025,0.0009695918,0.016453533,0.024116736,0.03379678,0.011969651,0.009001378,0.0024591533,0.23818126,-0.0,1.8057202714285714
2021-11-11,CTD11,4169608.9781368254,700350.5509754587,0.0029159314,0.007061293,0.012537648,0.0023567704,0.0015051431,0.00038251586,0.0003680875,0.00014626172,0.0029062831,0.007166918,0.012572372,0.0023032397,0.0015206741,0.0003779363,0.020543225,-0.0,1.084849405
2021-11-11,CTD12,4173437.93021035,695413.5305598581,0.0009886638,0.0033189042,0.009232359,0.002062729,0.0011487021,0.000275913,0.0002606605,0.000101179256,0.0010427798,0.0034934024,0.009296067,0.0019478868,0.0011645159,0.00026533141,2.6557558e-05,-1.435e-42,1.6462287962500002
2021-12-01,CTD1,4187246.4763657423,695024.7116773892,0.013481007,0.016452169,0.019286303,0.011092534,0.010265152,0.0037286128,0.0036583727,0.0015110731,0.013235683,0.0163746,0.018924292,0.010645067,0.0100151235,0.00357808,0.32707962,-0.0,0.5225825233333333
2021-12-01,CTD2,4181518.346026066,693105.1561410306,0.0011101755,0.0029235687,0.0039081187,0.00059810374,0.00030520553,7.786272e-05,7.1329545e-05,2.7242477e-05,0.0011751674,0.0030043183,0.0039646826,0.0005889134,0.00033047269,7.605656e-05,2.6603662e-05,-1.435e-42,0.6234373925
2021-12-01,CTD3,4181698.0921413857,695238.4758410116,0.015124257,0.018163383,0.020441659,0.0142652225,0.0142369615,0.005912338,0.005809269,0.0024577507,0.014715585,0.018015524,0.019929651,0.0137921525,0.014242629,0.0056006936,0.41990072,-0.0,0.7325687675000001
